,BEGIN_LAT,BEGIN_LON,TIME_INDEX,DAMAGE_PROPERTY,MAGNITUDE_RANK_RANKED,TYPE
1022815,32.48,-93.75,0,5000000.0,7.0,0
1021312,33.47,-84.35,0,2000000.0,7.0,2
1025538,44.93,-124.02,0,1500000.0,7.0,2
1018974,25.68,-80.42,0,1200000.0,7.0,0
1018274,30.32,-81.72,1,2800000.0,7.0,0
1057984,27.9,-81.58,2,24000000.0,7.0,1
1052284,31.32,-89.32,2,2000000.0,7.0,1
1065930,32.85,-97.13,2,25000000.0,7.0,1
1065925,32.83,-97.25,2,15000000.0,7.0,1
1061337,36.38,-85.33,2,5500000.0,7.0,0
1060100,32.42,-87.23,2,8000000.0,7.0,0
1060069,32.38,-86.3,2,1200000.0,7.0,2
1055046,32.28,-90.12,2,10000000.0,7.0,1
1057638,28.03,-81.95,2,1500000.0,7.0,1
1018077,32.85,-97.13,2,15000000.0,7.0,1
1018078,32.93,-97.08,2,15000000.0,7.0,1
1063712,33.37,-81.97,2,2000000.0,7.0,2
1050154,35.98,-91.72,2,1500000.0,7.0,0
1064612,31.32,-89.32,2,2000000.0,7.0,1
1061737,32.33,-86.13,2,1500000.0,7.0,0
1061765,32.38,-86.3,2,1250000.0,7.0,0
1064978,31.58,-83.93,2,6000000.0,7.0,0
1053415,42.4,-88.17,3,5000000.0,7.0,2
1024926,36.07,-94.17,3,9000000.0,7.0,1
1052978,37.02,-94.73,3,5000000.0,7.0,2
1052947,35.82,-92.35,3,2500000.0,7.0,0
1053182,37.73,-89.87,3,5000000.0,7.0,0
1055215,37.57,-84.3,3,12800000.0,7.0,0
1055876,39.82,-89.18,3,9000000.0,7.0,0
1055951,38.13,-88.7,3,2800000.0,7.0,0
1054060,42.45,-87.83,3,6600000.0,7.0,0
1055611,39.28,-85.48,3,1200000.0,7.0,0
1055604,40.07,-88.25,3,9000000.0,7.0,0
1055787,39.62,-86.32,3,2000000.0,7.0,0
1062406,37.45,-84.77,3,1500000.0,7.0,0
1050229,37.08,-94.52,3,12000000.0,7.0,0
1050960,42.55,-87.93,3,1100000.0,7.0,2
1033012,35.78,-78.38,3,3000000.0,7.0,0
1040637,41.17,-90.05,3,10000000.0,7.0,0
1039636,41.0,-90.95,3,4000000.0,7.0,0
1049002,38.58,-89.05,3,7000000.0,7.0,0
1060634,39.83,-88.95,3,1500000.0,7.0,0
1041093,37.07,-97.05,3,1500000.0,7.0,2
1051971,41.83,-84.75,3,2000000.0,7.0,1
1041380,41.2,-90.12,3,10000000.0,7.0,0
1041379,41.02,-90.9,3,4000000.0,7.0,0
1038060,42.27,-89.83,3,1200000.0,7.0,2
1058131,35.43,-87.38,3,1250000.0,7.0,0
1052377,39.62,-86.25,3,2000000.0,7.0,0
1052364,37.07,-93.6,3,2500000.0,7.0,2
1052245,35.93,-92.1,3,5000000.0,7.0,0
1029261,37.27,-97.62,3,7000000.0,7.0,2
1032074,35.68,-81.22,4,10000000.0,7.0,1
1031935,38.48,-100.47,4,1840000.0,7.0,1
1033418,40.08,-97.53,4,2000000.0,7.0,0
1036466,42.08,-71.02,4,4000000.0,7.0,2
1036518,44.92,-92.77,4,2500000.0,7.0,2
1036516,44.35,-92.4,4,12000000.0,7.0,2
1036486,44.03,-92.85,4,8500000.0,7.0,2
1040645,46.83,-100.9,4,1300000.0,7.0,2
1040646,46.8,-100.77,4,3200000.0,7.0,2
1036357,40.28,-96.82,4,12000000.0,7.0,0
1036643,46.37,-101.3,4,1500000.0,7.0,2
1038115,38.23,-85.78,4,20000000.0,7.0,1
1038349,45.38,-96.57,4,1500000.0,7.0,0
1039104,38.92,-94.38,4,10000000.0,7.0,2
1035274,38.97,-85.97,4,1300000.0,7.0,0
1034208,38.35,-87.58,4,1500000.0,7.0,1
1034476,32.25,-101.42,4,30000000.0,7.0,1
1041252,44.08,-93.22,4,5000000.0,7.0,2
1041283,45.13,-92.1,4,2200000.0,7.0,2
1035753,43.75,-93.73,4,1500000.0,7.0,2
1029973,30.13,-94.4,4,1100000.0,7.0,2
1030030,44.67,-93.25,4,4500000.0,7.0,2
1030053,44.08,-93.5,4,4000000.0,7.0,2
1030056,44.9,-92.95,4,1700000.0,7.0,1
1030302,44.98,-92.57,4,2700000.0,7.0,2
1028042,31.27,-100.82,4,10000000.0,7.0,2
1024938,34.42,-100.2,4,3000000.0,7.0,1
1025151,38.47,-99.9,4,1200000.0,7.0,1
1025180,33.97,-93.35,4,1800000.0,7.0,0
1031686,44.58,-92.1,4,4500000.0,7.0,2
1024539,37.63,-100.65,4,2000000.0,7.0,0
1025737,40.85,-96.77,4,1400000.0,7.0,2
1036613,38.45,-99.9,5,1400000.0,7.0,2
1030934,38.83,-77.52,5,4000000.0,7.0,0
1029049,32.97,-102.83,5,2500000.0,7.0,1
1029008,32.82,-96.92,5,10000000.0,7.0,2
1034350,43.33,-83.75,5,5000000.0,7.0,0
1035558,40.07,-74.62,5,11000000.0,7.0,2
1035056,37.58,-99.48,5,1500000.0,7.0,2
1035147,41.57,-96.55,5,10000000.0,7.0,1
1035119,38.8,-77.0,5,1250000.0,7.0,2
1040715,44.67,-92.53,5,3500000.0,7.0,2
1039175,41.03,-77.1,5,15000000.0,7.0,2
1038787,32.33,-90.17,5,1200000.0,7.0,2
1038551,29.4,-96.25,5,5000000.0,7.0,1
1059780,41.55,-73.03,6,2000000.0,7.0,0
1059464,47.92,-97.05,6,10000000.0,7.0,1
1060735,37.2,-99.48,6,1500000.0,7.0,1
1033307,42.48,-96.42,6,3000000.0,7.0,2
1033553,41.13,-104.82,6,3400000.0,7.0,1
1032939,40.28,-86.52,6,2000000.0,7.0,2
1051397,39.5,-76.98,6,5000000.0,7.0,0
1057271,36.5,-104.92,6,1680000.0,7.0,0
1035842,43.7,-88.62,6,39500000.0,7.0,0
1035440,41.17,-104.82,6,4000000.0,7.0,1
1037354,39.83,-75.18,6,1100000.0,7.0,2
1038789,42.58,-83.03,6,3000000.0,7.0,2
1064320,35.48,-97.53,6,2000000.0,7.0,2
1035017,38.88,-104.82,6,8700000.0,7.0,1
1058388,38.18,-99.1,7,3200000.0,7.0,2
1048020,37.88,-99.25,7,1800000.0,7.0,2
1048026,37.92,-99.42,7,1600000.0,7.0,2
1049716,37.63,-98.92,7,2000000.0,7.0,2
1048435,37.62,-99.1,7,2000000.0,7.0,2
1045134,41.13,-104.82,7,2400000.0,7.0,1
1047911,34.62,-82.8,8,3000000.0,7.0,0
1047388,34.37,-92.8,8,2100000.0,7.0,0
1046568,28.97,-80.88,9,2400000.0,7.0,0
1064751,42.87,-88.33,9,1200000.0,7.0,1
1057916,32.77,-96.78,9,3000000.0,7.0,0
1065247,30.85,-100.62,10,4500000.0,7.0,1
1043679,32.53,-92.78,10,2000000.0,7.0,0
993889,36.98,-85.9,12,1800000.0,7.0,0
985802,36.03,-86.37,12,2000000.0,7.0,0
988564,35.78,-86.5,12,4700000.0,7.0,0
987215,33.13,-87.57,12,5000000.0,7.0,0
987605,29.7,-95.2,12,12000000.0,7.0,0
989504,32.57,-89.48,13,1500000.0,7.0,0
1007732,35.43,-91.58,14,10000000.0,7.0,0
1007733,35.53,-91.47,14,3000000.0,7.0,0
997216,33.77,-93.48,14,2000000.0,7.0,0
997726,32.32,-96.1,14,1700000.0,7.0,2
1008528,35.6,-91.37,14,25000000.0,7.0,0
1009194,34.15,-93.0,14,2000000.0,7.0,0
1000728,32.27,-96.17,14,3000000.0,7.0,2
1001574,34.68,-92.23,14,10000000.0,7.0,0
1001552,34.52,-92.52,14,25000000.0,7.0,0
1001789,32.37,-96.1,14,1500000.0,7.0,2
1001174,34.58,-92.4,14,10000000.0,7.0,0
998870,37.85,-83.87,14,1250000.0,7.0,0
1007377,37.43,-85.78,14,3000000.0,7.0,0
1007378,37.75,-85.97,14,2000000.0,7.0,0
1007379,37.18,-85.32,14,3000000.0,7.0,0
1007389,33.9,-93.33,14,120000000.0,7.0,0
1007391,35.9,-92.63,14,2000000.0,7.0,2
1006921,37.37,-85.92,14,1400000.0,7.0,0
1006965,35.33,-92.95,14,5000000.0,7.0,0
1007116,35.95,-89.67,14,2000000.0,7.0,0
999031,34.62,-92.35,14,50000000.0,7.0,0
994225,35.97,-88.67,14,2000000.0,7.0,0
1002550,35.05,-85.32,14,45000000.0,7.0,0
1002551,35.15,-84.9,14,3200000.0,7.0,0
1001003,32.53,-93.8,15,10000000.0,7.0,2
994167,34.47,-85.9,15,2200000.0,7.0,0
1009114,33.58,-101.92,15,12000000.0,7.0,1
1008737,33.47,-82.5,15,2750000.0,7.0,2
1008053,33.22,-97.15,15,2000000.0,7.0,2
1008072,33.6,-101.9,15,18000000.0,7.0,1
991897,41.67,-91.55,16,40000000.0,7.0,1
991657,30.35,-81.67,16,2000000.0,7.0,2
991867,36.85,-75.98,16,5000000.0,7.0,1
991911,36.87,-76.27,16,10000000.0,7.0,1
995998,42.15,-86.22,16,1500000.0,7.0,2
996705,41.83,-86.07,16,4000000.0,7.0,2
1005923,37.13,-97.5,16,1850000.0,7.0,0
987068,35.2,-101.82,16,2000000.0,7.0,1
989875,34.77,-87.0,16,2300000.0,7.0,0
1005292,32.5,-92.12,16,3000000.0,7.0,2
1006781,32.67,-103.13,16,27000000.0,7.0,1
1006762,40.42,-104.67,16,2000000.0,7.0,1
988384,42.27,-85.08,16,10000000.0,7.0,0
988383,42.08,-86.0,16,1500000.0,7.0,0
985873,32.93,-102.55,16,2500000.0,7.0,1
1003562,42.3,-86.47,16,1500000.0,7.0,0
1004335,30.37,-98.02,16,15000000.0,7.0,0
1004331,30.55,-97.82,16,70000000.0,7.0,0
1004330,30.82,-97.62,16,40000000.0,7.0,0
984971,32.32,-106.78,17,3500000.0,7.0,1
993235,41.2,-94.88,17,1100000.0,7.0,2
990128,43.58,-97.78,17,1200000.0,7.0,2
1005300,48.02,-98.12,17,10000000.0,7.0,1
1003359,40.67,-100.62,17,3000000.0,7.0,1
